id,date,etape,id_conversation,id_contact,etape_finale
-1,2022-11-04,0,-1,ACoAACEL2T4BR9NxMhVnyoI2qoIV0q4EdVMA2Pk,0
-1,2022-11-04,0,-1,ACoAAB4CuWUB9J_ZxSsAhjYaYqaLWcQDWK8yPDo,0
-1,2022-11-04,0,-1,ACoAACNJQpkBtHf2yjct4SYoQQvn4iKeQ4xP_XA,0
-1,2022-11-04,0,-1,ACoAAAdAoT8BJ4-N9jlXunzW0Jz7EcaloRWabJc,0
-1,2022-11-04,0,-1,ACoAAAbN7BMBsSN66QbwXoOGv6cpakSq9VeC3nQ,0
-1,2022-11-04,0,-1,ACoAAACl3CABN3w0jkQo0qjyYhdPhSaOa28_pKo,0
-1,2022-11-04,0,-1,ACoAADEM3CoB8eN7wtbS6w1wI_iPWAfsIwQLt2M,0
-1,2022-11-04,1,-1,ACoAAAx4_LkB4TvUxnSaBgH-z86ZG0QDGieBkQQ,0
-1,2022-11-04,0,-1,ACoAAATwvZ0BF1hmXX4EkYvwAtNAvKGAzPKMKaE,0
-1,2022-11-04,0,-1,ACoAABVpPWsB7JM82fdTiEgdA343l-jK3BEjLiA,0
-1,2022-11-04,0,-1,ACoAAAICBd0BjOaj0O-KMGSBN6PjNPbVrzdmBMw,0
-1,2022-11-04,0,-1,ACoAAAIi53IBZAMP98hYnJc6nzgip5QZJCTDgGQ,0
-1,2022-11-04,1,-1,ACoAAAkGKrkBKryf3qTuMkW3F1vetQ4sFimv1aA,0
-1,2022-11-04,0,-1,ACoAAAE2PtoB285Q4ITi708L4VLjDnsc31kdlKg,0
-1,2022-11-04,0,-1,ACoAAA3lHVwB1iWOrSY-FlV8_z8a0Kj6DkVkhCE,0
-1,2022-11-04,0,-1,ACoAAAwKlM4BzPNlBBDlTXsDvDC5_Fv0hGwUoJE,0
-1,2022-11-04,1,-1,ACoAAAFUFCgB0eZOsT8wqNGE3A2qp_RhF_YNbRE,0
-1,2022-11-04,1,-1,ACoAACv-YpoBZMdzHcGFL9N7PbP1Qtjur11IKYo,0
-1,2022-11-04,0,-1,ACoAAAET1zYBMcYwETgEvZVIsvj4cfO18Sb0txM,0
-1,2022-11-04,0,-1,ACoAAABynFcBq1Oxl2wJ8acZ88yELmKOl2NC_48,0
-1,2022-11-04,0,-1,ACoAAAWyhh4BahP8kFkiFiHomANyPYbGch17zok,0
-1,2022-11-04,0,-1,ACoAADgCAOIBMMuoiZ2e6vU-qybeZV9gTfi3LaQ,0
-1,2022-11-04,1,-1,ACoAABOXcAABGs1t8OoZdEzVCdpQzpAGhZLQw_c,0
-1,2022-11-04,0,-1,ACoAAAu0_iABB6SG-4u55lGXNg6xAgbxcFpIjto,0
-1,2022-11-04,0,-1,ACoAAAR7oZoBOu6zmnI-xNd5JyXXqZ82o3P0kZk,0
-1,2022-11-04,0,-1,ACoAAATNz1kBxssVbe42RahlUk_wn_hL7U1JCLo,0
-1,2022-11-04,0,-1,ACoAAACA8qABqFl-Q4sABBzrLd9LVYAUKIdNhDM,0
-1,2022-11-04,0,-1,ACoAACR2STAB3zlb3hK8hufWGGiCZwm772-jYw8,0
-1,2022-11-04,0,-1,ACoAAAB51LIBjyyZbgfLsCnXjljOb46qkKRyY9Y,0
-1,2022-11-04,0,-1,ACoAAAG3eaQBnFr5JycWA5645iPy2NAQVYPeXSA,0
-1,2022-11-04,0,-1,ACoAADCptVUBRh4Hrwm4AH-iVcRVnC5cc5Fd2Rs,0
-1,2022-11-04,1,-1,ACoAAArcX1sBTAdPP9MUIiGHAx6HU_yXtNN_lVo,0
-1,2022-11-04,0,-1,ACoAAABHya0BQr7p2Aszj3httfeBTCepDHkJ_18,0
-1,2022-11-04,0,-1,ACoAAAMigO4BxT7xqf-ey5Fdyb071qJTleP9AxI,0
-1,2022-11-04,1,-1,ACoAAAFUNcwBTFcOVu1nW9ylBR-l9xdZ_TuyAxc,0
-1,2022-11-04,1,-1,ACoAAAoUtsgBOlZ5a5Aec18zyXBxgOhGfh6YUF8,0
-1,2022-11-04,0,-1,ACoAAADn_B8B9VcjMaGyCqw5NsLTxG1J4k00W-g,0
-1,2022-11-04,0,-1,ACoAAABB1dwBQmVJ-FgrTQDskdRpVIAEeCL7Ne4,0
-1,2022-11-04,1,-1,ACoAAAMjISUB8diAp7bJvQRbQNupTabxZYnylhs,0
-1,2022-11-04,1,-1,ACoAABisi9AB21-j1Zg1SC13heVTJHkyZDlwe50,0
-1,2022-11-04,0,-1,ACoAACBSTsMBCPaac-NW48ZTByrIjEIL6JsJgZU,0
-1,2022-11-04,0,-1,ACoAAAAPJDYBD5v_KEuEDMl77NF3s7BldkC0OMU,0
-1,2022-11-04,0,-1,ACoAABf6-qsBieUn1iabuK5zlhWTKLCk4UvTGLg,0
