Id,Date,Step,Id_conversation,Id_contact,Final_step
ACoAAAr3h3EBHNsMww4WHNmj8vuOh1BFffTNmZg_0,1671062400,0,-1,ACoAAAr3h3EBHNsMww4WHNmj8vuOh1BFffTNmZg,0
ACoAAA208hUB995-fbc7yGVEWKoYQcOedUYuWBo_0,1671062400,0,-1,ACoAAA208hUB995-fbc7yGVEWKoYQcOedUYuWBo,0
ACoAACcbA7oB0yRWvVsBIt2VfMoiC6_hWliJYGk_0,1671062400,0,-1,ACoAACcbA7oB0yRWvVsBIt2VfMoiC6_hWliJYGk,0
ACoAAAQ_EssBJfIPmg5LCARPmxDb6wONxiQuoRQ_0,1671062400,0,-1,ACoAAAQ_EssBJfIPmg5LCARPmxDb6wONxiQuoRQ,0
ACoAAAQ_EssBJfIPmg5LCARPmxDb6wONxiQuoRQ_1,1671062400,1,-1,ACoAAAQ_EssBJfIPmg5LCARPmxDb6wONxiQuoRQ,0
ACoAAADsV7YBnGhLSypzVw5ppvOTnrC8hD6sNOg_0,1671062400,0,-1,ACoAAADsV7YBnGhLSypzVw5ppvOTnrC8hD6sNOg,0
ACoAAAChqPQBBOWn18UsV9apfTeWrY9JjYqtvv0_0,1671062400,0,-1,ACoAAAChqPQBBOWn18UsV9apfTeWrY9JjYqtvv0,0
ACoAAAChqPQBBOWn18UsV9apfTeWrY9JjYqtvv0_1,1671062400,1,-1,ACoAAAChqPQBBOWn18UsV9apfTeWrY9JjYqtvv0,0
ACoAABRpCb0BPvVa7iA0lkuSO4OvaVPKmZiWcfY_0,1671062400,0,-1,ACoAABRpCb0BPvVa7iA0lkuSO4OvaVPKmZiWcfY,0
ACoAABRpCb0BPvVa7iA0lkuSO4OvaVPKmZiWcfY_1,1671062400,1,-1,ACoAABRpCb0BPvVa7iA0lkuSO4OvaVPKmZiWcfY,0
ACoAABEghEoBzUo7LMTboz8o5yX1ZjSBoh0v6Oo_0,1671062400,0,-1,ACoAABEghEoBzUo7LMTboz8o5yX1ZjSBoh0v6Oo,0
ACoAABEghEoBzUo7LMTboz8o5yX1ZjSBoh0v6Oo_1,1671062400,1,-1,ACoAABEghEoBzUo7LMTboz8o5yX1ZjSBoh0v6Oo,0
ACoAAB11pLoBw6aCzObFiEYK2y-CB-q7AM-xmX0_0,1671062400,0,-1,ACoAAB11pLoBw6aCzObFiEYK2y-CB-q7AM-xmX0,0
ACoAAB11pLoBw6aCzObFiEYK2y-CB-q7AM-xmX0_1,1671062400,1,-1,ACoAAB11pLoBw6aCzObFiEYK2y-CB-q7AM-xmX0,0
ACoAAB3ZE-EBab7d0vYDjS-zBApHnheDeYyTmmg_0,1671062400,0,-1,ACoAAB3ZE-EBab7d0vYDjS-zBApHnheDeYyTmmg,0
ACoAABgRQ9gBrt0qpaYU28AmseYA8C5FgTmMqWU_0,1671062400,0,-1,ACoAABgRQ9gBrt0qpaYU28AmseYA8C5FgTmMqWU,0
ACoAABgRQ9gBrt0qpaYU28AmseYA8C5FgTmMqWU_1,1671062400,1,-1,ACoAABgRQ9gBrt0qpaYU28AmseYA8C5FgTmMqWU,0
ACoAABMdtmQBaylJGILafXIyiy8WuZtr1X4dEXs_0,1671062400,0,-1,ACoAABMdtmQBaylJGILafXIyiy8WuZtr1X4dEXs,0
ACoAABMdtmQBaylJGILafXIyiy8WuZtr1X4dEXs_1,1671062400,1,-1,ACoAABMdtmQBaylJGILafXIyiy8WuZtr1X4dEXs,0
ACoAAA6f0a8BecdCM8pqfIjSZ_xov8IkgPmh-mg_0,1671062400,0,-1,ACoAAA6f0a8BecdCM8pqfIjSZ_xov8IkgPmh-mg,0
ACoAACvdSDYBwLC07lz-jbncwIoOUHgOR5BOflc_0,1671062400,0,-1,ACoAACvdSDYBwLC07lz-jbncwIoOUHgOR5BOflc,0
ACoAAAogdmIBjEOJqO8OPS6l0oapgSM0m6Pf_Rg_0,1671062400,0,-1,ACoAAAogdmIBjEOJqO8OPS6l0oapgSM0m6Pf_Rg,0
ACoAAAd1mswB2QFDxyrHLzFDo0bNkc2Fg1PuTfk_0,1671062400,0,-1,ACoAAAd1mswB2QFDxyrHLzFDo0bNkc2Fg1PuTfk,0
ACoAAAd1mswB2QFDxyrHLzFDo0bNkc2Fg1PuTfk_1,1671062400,1,-1,ACoAAAd1mswB2QFDxyrHLzFDo0bNkc2Fg1PuTfk,0
ACoAACO_OscBg5kHyZNq_FFgxd154u0ktNY93O0_0,1671062400,0,-1,ACoAACO_OscBg5kHyZNq_FFgxd154u0ktNY93O0,0
ACoAACR6tVQBp0RBH70xo5zlMkNkBAa8H8_H5VA_0,1671062400,0,-1,ACoAACR6tVQBp0RBH70xo5zlMkNkBAa8H8_H5VA,0
ACoAACR6tVQBp0RBH70xo5zlMkNkBAa8H8_H5VA_1,1671062400,1,-1,ACoAACR6tVQBp0RBH70xo5zlMkNkBAa8H8_H5VA,0
ACoAACG5SlkB7yO7apx-g5qWa5XdAZUFIfVRyd4_0,1671062400,0,-1,ACoAACG5SlkB7yO7apx-g5qWa5XdAZUFIfVRyd4,0
ACoAAAxCGYIB8W_al-3cobK2n_g5ZoXvAum8Fgs_0,1671062400,0,-1,ACoAAAxCGYIB8W_al-3cobK2n_g5ZoXvAum8Fgs,0
ACoAACWAMX0ByFp3X8AH5DH1vc1021h0ICLXv0c_0,1671062400,0,-1,ACoAACWAMX0ByFp3X8AH5DH1vc1021h0ICLXv0c,0
ACoAACo6dmsBKRY_t0p4RByyq9Ijp8z8V7OxIKo_0,1671062400,0,-1,ACoAACo6dmsBKRY_t0p4RByyq9Ijp8z8V7OxIKo,0
ACoAACo6dmsBKRY_t0p4RByyq9Ijp8z8V7OxIKo_1,1671062400,1,-1,ACoAACo6dmsBKRY_t0p4RByyq9Ijp8z8V7OxIKo,0
ACoAAAyvyqIBca1uzjzOgyltWwZlhnxHU7PXvdk_0,1671062400,0,-1,ACoAAAyvyqIBca1uzjzOgyltWwZlhnxHU7PXvdk,0
ACoAAAyvyqIBca1uzjzOgyltWwZlhnxHU7PXvdk_1,1671062400,1,-1,ACoAAAyvyqIBca1uzjzOgyltWwZlhnxHU7PXvdk,0
ACoAACPIL9UBKYBwoTShOIPLHtRceHmxg3NUVQQ_0,1671062400,0,-1,ACoAACPIL9UBKYBwoTShOIPLHtRceHmxg3NUVQQ,0
ACoAACPIL9UBKYBwoTShOIPLHtRceHmxg3NUVQQ_1,1671062400,1,-1,ACoAACPIL9UBKYBwoTShOIPLHtRceHmxg3NUVQQ,0
ACoAABFK_XoBv4ccprjhuvUA8gd7joS6QnwILoo_0,1671062400,0,-1,ACoAABFK_XoBv4ccprjhuvUA8gd7joS6QnwILoo,0
ACoAABFK_XoBv4ccprjhuvUA8gd7joS6QnwILoo_1,1671062400,1,-1,ACoAABFK_XoBv4ccprjhuvUA8gd7joS6QnwILoo,0
ACoAAC1mrfQBbOx7x-HfwMuuDKxeKqtrQdtFRO4_0,1671062400,0,-1,ACoAAC1mrfQBbOx7x-HfwMuuDKxeKqtrQdtFRO4,0
ACoAAC1mrfQBbOx7x-HfwMuuDKxeKqtrQdtFRO4_1,1671062400,1,-1,ACoAAC1mrfQBbOx7x-HfwMuuDKxeKqtrQdtFRO4,0
ACoAAAxSQWMBRX3HvkvlV8ncGBYbWC5O3Q3XS0s_0,1671062400,0,-1,ACoAAAxSQWMBRX3HvkvlV8ncGBYbWC5O3Q3XS0s,0
ACoAAAxSQWMBRX3HvkvlV8ncGBYbWC5O3Q3XS0s_1,1671062400,1,-1,ACoAAAxSQWMBRX3HvkvlV8ncGBYbWC5O3Q3XS0s,0
ACoAAAJBmM4BT5NkfukigwY8y6pjl-IMzo_FItM_0,1671062400,0,-1,ACoAAAJBmM4BT5NkfukigwY8y6pjl-IMzo_FItM,0
ACoAAC5yd-sB89CeXJ5bXh-UoD_g91Q_sxwHK_s_0,1671062400,0,-1,ACoAAC5yd-sB89CeXJ5bXh-UoD_g91Q_sxwHK_s,0
ACoAABQ0tr4BpsJSWEtlLKB9-ra-i4GfttWJ9uw_0,1671062400,0,-1,ACoAABQ0tr4BpsJSWEtlLKB9-ra-i4GfttWJ9uw,0
ACoAABYr2GYBOBr8355F9oktz0wYocMVjlSLmkc_0,1671062400,0,-1,ACoAABYr2GYBOBr8355F9oktz0wYocMVjlSLmkc,0
ACoAACqIshABr2ABoKvXmhXEpreysq_Q8Q7t4Jc_0,1671062400,0,-1,ACoAACqIshABr2ABoKvXmhXEpreysq_Q8Q7t4Jc,0
ACoAACqIshABr2ABoKvXmhXEpreysq_Q8Q7t4Jc_1,1671062400,1,-1,ACoAACqIshABr2ABoKvXmhXEpreysq_Q8Q7t4Jc,0
ACoAACLPu-wB0U6MhekFzEu9vlfLZ-3pRzmFBao_0,1671062400,0,-1,ACoAACLPu-wB0U6MhekFzEu9vlfLZ-3pRzmFBao,0
ACoAACEL2T4BR9NxMhVnyoI2qoIV0q4EdVMA2Pk_0,1671062400,0,-1,ACoAACEL2T4BR9NxMhVnyoI2qoIV0q4EdVMA2Pk,0
ACoAAB4CuWUB9J_ZxSsAhjYaYqaLWcQDWK8yPDo_0,1671062400,0,-1,ACoAAB4CuWUB9J_ZxSsAhjYaYqaLWcQDWK8yPDo,0
ACoAACNJQpkBtHf2yjct4SYoQQvn4iKeQ4xP_XA_0,1671062400,0,-1,ACoAACNJQpkBtHf2yjct4SYoQQvn4iKeQ4xP_XA,0
ACoAAAdAoT8BJ4-N9jlXunzW0Jz7EcaloRWabJc_0,1671062400,0,-1,ACoAAAdAoT8BJ4-N9jlXunzW0Jz7EcaloRWabJc,0
ACoAAAbN7BMBsSN66QbwXoOGv6cpakSq9VeC3nQ_0,1671062400,0,-1,ACoAAAbN7BMBsSN66QbwXoOGv6cpakSq9VeC3nQ,0
ACoAAAbN7BMBsSN66QbwXoOGv6cpakSq9VeC3nQ_1,1671062400,1,-1,ACoAAAbN7BMBsSN66QbwXoOGv6cpakSq9VeC3nQ,0
ACoAAACl3CABN3w0jkQo0qjyYhdPhSaOa28_pKo_0,1671062400,0,-1,ACoAAACl3CABN3w0jkQo0qjyYhdPhSaOa28_pKo,0
ACoAAACl3CABN3w0jkQo0qjyYhdPhSaOa28_pKo_1,1671062400,1,-1,ACoAAACl3CABN3w0jkQo0qjyYhdPhSaOa28_pKo,0
ACoAADEM3CoB8eN7wtbS6w1wI_iPWAfsIwQLt2M_0,1671062400,0,-1,ACoAADEM3CoB8eN7wtbS6w1wI_iPWAfsIwQLt2M,0
ACoAAAx4_LkB4TvUxnSaBgH-z86ZG0QDGieBkQQ_0,1671062400,0,-1,ACoAAAx4_LkB4TvUxnSaBgH-z86ZG0QDGieBkQQ,0
ACoAAAx4_LkB4TvUxnSaBgH-z86ZG0QDGieBkQQ_1,1671062400,1,-1,ACoAAAx4_LkB4TvUxnSaBgH-z86ZG0QDGieBkQQ,0
ACoAAATwvZ0BF1hmXX4EkYvwAtNAvKGAzPKMKaE_0,1671062400,0,-1,ACoAAATwvZ0BF1hmXX4EkYvwAtNAvKGAzPKMKaE,0
ACoAABVpPWsB7JM82fdTiEgdA343l-jK3BEjLiA_0,1671062400,0,-1,ACoAABVpPWsB7JM82fdTiEgdA343l-jK3BEjLiA,0
ACoAAAICBd0BjOaj0O-KMGSBN6PjNPbVrzdmBMw_0,1671062400,0,-1,ACoAAAICBd0BjOaj0O-KMGSBN6PjNPbVrzdmBMw,0
ACoAAAIi53IBZAMP98hYnJc6nzgip5QZJCTDgGQ_0,1671062400,0,-1,ACoAAAIi53IBZAMP98hYnJc6nzgip5QZJCTDgGQ,0
ACoAAAkGKrkBKryf3qTuMkW3F1vetQ4sFimv1aA_0,1671062400,0,-1,ACoAAAkGKrkBKryf3qTuMkW3F1vetQ4sFimv1aA,0
ACoAAAkGKrkBKryf3qTuMkW3F1vetQ4sFimv1aA_1,1671062400,1,-1,ACoAAAkGKrkBKryf3qTuMkW3F1vetQ4sFimv1aA,0
ACoAAAE2PtoB285Q4ITi708L4VLjDnsc31kdlKg_0,1671062400,0,-1,ACoAAAE2PtoB285Q4ITi708L4VLjDnsc31kdlKg,0
ACoAAA3lHVwB1iWOrSY-FlV8_z8a0Kj6DkVkhCE_0,1671062400,0,-1,ACoAAA3lHVwB1iWOrSY-FlV8_z8a0Kj6DkVkhCE,0
ACoAAAwKlM4BzPNlBBDlTXsDvDC5_Fv0hGwUoJE_0,1671062400,0,-1,ACoAAAwKlM4BzPNlBBDlTXsDvDC5_Fv0hGwUoJE,0
ACoAAAFUFCgB0eZOsT8wqNGE3A2qp_RhF_YNbRE_0,1671062400,0,-1,ACoAAAFUFCgB0eZOsT8wqNGE3A2qp_RhF_YNbRE,0
ACoAAAFUFCgB0eZOsT8wqNGE3A2qp_RhF_YNbRE_1,1671062400,1,-1,ACoAAAFUFCgB0eZOsT8wqNGE3A2qp_RhF_YNbRE,0
ACoAACv-YpoBZMdzHcGFL9N7PbP1Qtjur11IKYo_0,1671062400,0,-1,ACoAACv-YpoBZMdzHcGFL9N7PbP1Qtjur11IKYo,0
ACoAACv-YpoBZMdzHcGFL9N7PbP1Qtjur11IKYo_1,1671062400,1,-1,ACoAACv-YpoBZMdzHcGFL9N7PbP1Qtjur11IKYo,0
ACoAAAET1zYBMcYwETgEvZVIsvj4cfO18Sb0txM_0,1671062400,0,-1,ACoAAAET1zYBMcYwETgEvZVIsvj4cfO18Sb0txM,0
ACoAAABynFcBq1Oxl2wJ8acZ88yELmKOl2NC_48_0,1671062400,0,-1,ACoAAABynFcBq1Oxl2wJ8acZ88yELmKOl2NC_48,0
ACoAAAWyhh4BahP8kFkiFiHomANyPYbGch17zok_0,1671062400,0,-1,ACoAAAWyhh4BahP8kFkiFiHomANyPYbGch17zok,0
ACoAAAWyhh4BahP8kFkiFiHomANyPYbGch17zok_1,1671062400,1,-1,ACoAAAWyhh4BahP8kFkiFiHomANyPYbGch17zok,0
ACoAADgCAOIBMMuoiZ2e6vU-qybeZV9gTfi3LaQ_0,1671062400,0,-1,ACoAADgCAOIBMMuoiZ2e6vU-qybeZV9gTfi3LaQ,0
ACoAABOXcAABGs1t8OoZdEzVCdpQzpAGhZLQw_c_0,1671062400,0,-1,ACoAABOXcAABGs1t8OoZdEzVCdpQzpAGhZLQw_c,0
ACoAABOXcAABGs1t8OoZdEzVCdpQzpAGhZLQw_c_1,1671062400,1,-1,ACoAABOXcAABGs1t8OoZdEzVCdpQzpAGhZLQw_c,0
ACoAAAu0_iABB6SG-4u55lGXNg6xAgbxcFpIjto_0,1671062400,0,-1,ACoAAAu0_iABB6SG-4u55lGXNg6xAgbxcFpIjto,0
ACoAAAR7oZoBOu6zmnI-xNd5JyXXqZ82o3P0kZk_0,1671062400,0,-1,ACoAAAR7oZoBOu6zmnI-xNd5JyXXqZ82o3P0kZk,0
ACoAAAR7oZoBOu6zmnI-xNd5JyXXqZ82o3P0kZk_1,1671062400,1,-1,ACoAAAR7oZoBOu6zmnI-xNd5JyXXqZ82o3P0kZk,0
ACoAAATNz1kBxssVbe42RahlUk_wn_hL7U1JCLo_0,1671062400,0,-1,ACoAAATNz1kBxssVbe42RahlUk_wn_hL7U1JCLo,0
ACoAAACA8qABqFl-Q4sABBzrLd9LVYAUKIdNhDM_0,1671062400,0,-1,ACoAAACA8qABqFl-Q4sABBzrLd9LVYAUKIdNhDM,0
ACoAAACA8qABqFl-Q4sABBzrLd9LVYAUKIdNhDM_1,1671062400,1,-1,ACoAAACA8qABqFl-Q4sABBzrLd9LVYAUKIdNhDM,0
ACoAACR2STAB3zlb3hK8hufWGGiCZwm772-jYw8_0,1671062400,0,-1,ACoAACR2STAB3zlb3hK8hufWGGiCZwm772-jYw8,0
ACoAAAB51LIBjyyZbgfLsCnXjljOb46qkKRyY9Y_0,1671062400,0,-1,ACoAAAB51LIBjyyZbgfLsCnXjljOb46qkKRyY9Y,0
ACoAAAB51LIBjyyZbgfLsCnXjljOb46qkKRyY9Y_1,1671062400,1,-1,ACoAAAB51LIBjyyZbgfLsCnXjljOb46qkKRyY9Y,0
ACoAAAG3eaQBnFr5JycWA5645iPy2NAQVYPeXSA_0,1671062400,0,-1,ACoAAAG3eaQBnFr5JycWA5645iPy2NAQVYPeXSA,0
ACoAADCptVUBRh4Hrwm4AH-iVcRVnC5cc5Fd2Rs_0,1671062400,0,-1,ACoAADCptVUBRh4Hrwm4AH-iVcRVnC5cc5Fd2Rs,0
ACoAADCptVUBRh4Hrwm4AH-iVcRVnC5cc5Fd2Rs_1,1671062400,1,-1,ACoAADCptVUBRh4Hrwm4AH-iVcRVnC5cc5Fd2Rs,0
ACoAAArcX1sBTAdPP9MUIiGHAx6HU_yXtNN_lVo_0,1671062400,0,-1,ACoAAArcX1sBTAdPP9MUIiGHAx6HU_yXtNN_lVo,0
ACoAAArcX1sBTAdPP9MUIiGHAx6HU_yXtNN_lVo_1,1671062400,1,-1,ACoAAArcX1sBTAdPP9MUIiGHAx6HU_yXtNN_lVo,0
ACoAAABHya0BQr7p2Aszj3httfeBTCepDHkJ_18_0,1671062400,0,-1,ACoAAABHya0BQr7p2Aszj3httfeBTCepDHkJ_18,0
ACoAAAMigO4BxT7xqf-ey5Fdyb071qJTleP9AxI_0,1671062400,0,-1,ACoAAAMigO4BxT7xqf-ey5Fdyb071qJTleP9AxI,0
ACoAAAFUNcwBTFcOVu1nW9ylBR-l9xdZ_TuyAxc_0,1671062400,0,-1,ACoAAAFUNcwBTFcOVu1nW9ylBR-l9xdZ_TuyAxc,0
ACoAAAFUNcwBTFcOVu1nW9ylBR-l9xdZ_TuyAxc_1,1671062400,1,-1,ACoAAAFUNcwBTFcOVu1nW9ylBR-l9xdZ_TuyAxc,0
ACoAAAoUtsgBOlZ5a5Aec18zyXBxgOhGfh6YUF8_0,1671062400,0,-1,ACoAAAoUtsgBOlZ5a5Aec18zyXBxgOhGfh6YUF8,0
ACoAAAoUtsgBOlZ5a5Aec18zyXBxgOhGfh6YUF8_1,1671062400,1,-1,ACoAAAoUtsgBOlZ5a5Aec18zyXBxgOhGfh6YUF8,0
ACoAAADn_B8B9VcjMaGyCqw5NsLTxG1J4k00W-g_0,1671062400,0,-1,ACoAAADn_B8B9VcjMaGyCqw5NsLTxG1J4k00W-g,0
ACoAAADn_B8B9VcjMaGyCqw5NsLTxG1J4k00W-g_1,1671062400,1,-1,ACoAAADn_B8B9VcjMaGyCqw5NsLTxG1J4k00W-g,0
ACoAAABB1dwBQmVJ-FgrTQDskdRpVIAEeCL7Ne4_0,1671062400,0,-1,ACoAAABB1dwBQmVJ-FgrTQDskdRpVIAEeCL7Ne4,0
ACoAAABB1dwBQmVJ-FgrTQDskdRpVIAEeCL7Ne4_1,1671062400,1,-1,ACoAAABB1dwBQmVJ-FgrTQDskdRpVIAEeCL7Ne4,0
ACoAAAMjISUB8diAp7bJvQRbQNupTabxZYnylhs_0,1671062400,0,-1,ACoAAAMjISUB8diAp7bJvQRbQNupTabxZYnylhs,0
ACoAAAMjISUB8diAp7bJvQRbQNupTabxZYnylhs_1,1671062400,1,-1,ACoAAAMjISUB8diAp7bJvQRbQNupTabxZYnylhs,0
ACoAABisi9AB21-j1Zg1SC13heVTJHkyZDlwe50_0,1671062400,0,-1,ACoAABisi9AB21-j1Zg1SC13heVTJHkyZDlwe50,0
ACoAABisi9AB21-j1Zg1SC13heVTJHkyZDlwe50_1,1671062400,1,-1,ACoAABisi9AB21-j1Zg1SC13heVTJHkyZDlwe50,0
ACoAACBSTsMBCPaac-NW48ZTByrIjEIL6JsJgZU_0,1671062400,0,-1,ACoAACBSTsMBCPaac-NW48ZTByrIjEIL6JsJgZU,0
